"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Cdh23","ENSMUSG00000012819",108.913506533808,-1.50220024543293,0.247162369165914,7.70989926463199e-11,5.50546587302055e-10
"Vmn2r1","ENSMUSG00000027824",67.3270881280622,-1.41972183817414,0.233618970418812,7.72873835873575e-11,5.51740142701282e-10
"Sema6b","ENSMUSG00000001227",900.085767835911,1.04979732139703,0.170668915184873,7.81917850308798e-11,5.58043102236048e-10
"Pcdha2","ENSMUSG00000104148",81.515235617948,1.75124361069897,0.28826063152756,7.85467967525197e-11,5.60422763313101e-10
"Gcsh","ENSMUSG00000034424",1116.68142847434,0.932205664122785,0.150115869108665,7.92187583108428e-11,5.65061898404532e-10
"Metap2","ENSMUSG00000036112",10598.1592670661,-0.593506761340957,0.092822935268032,7.94345697507884e-11,5.66445692201462e-10
"Il1r2","ENSMUSG00000026073",111.689731750419,-1.40954933159898,0.232112107945883,7.94978246995917e-11,5.66741148853444e-10
"Rbpj","ENSMUSG00000039191",2747.42220723569,-0.768057467860648,0.121801488902786,7.9531735423941e-11,5.66827305349937e-10
"Sec11c","ENSMUSG00000024516",7425.13517768696,-0.745913337247108,0.11812471823078,8.14729797603302e-11,5.80503362786155e-10
"Hars","ENSMUSG00000001380",4557.64714454319,-0.672320258054514,0.105822452390615,8.17098401711906e-11,5.82031338202411e-10
"Lyrm9","ENSMUSG00000072640",1416.31143546276,0.93620837451383,0.150963400381086,8.23439365620859e-11,5.86387270757865e-10
"Csdc2","ENSMUSG00000042109",90.4575840125079,1.46558041252047,0.241585438177744,8.24615964224736e-11,5.87064177820192e-10
"Cspg5","ENSMUSG00000032482",79.8150287345668,1.50989336972127,0.24889958491207,8.28486459929137e-11,5.8965803921128e-10
"Gm10501","ENSMUSG00000073415",115.660341806623,1.07439619375376,0.17524779949231,8.31015001657304e-11,5.91295633097036e-10
"Sept9","ENSMUSG00000059248",29102.1649865047,-1.04748282283106,0.170536003515769,8.32108488416308e-11,5.91911518834838e-10
"Zzz3","ENSMUSG00000039068",4343.39330058119,0.546277253876894,0.0853025965010106,8.41199019823772e-11,5.98214122230098e-10
"Wipf2","ENSMUSG00000038013",3604.79886491438,-0.589217961218303,0.0922545971925243,8.41899372421523e-11,5.98548278159304e-10
"Mea1","ENSMUSG00000002768",3212.42033142481,-0.590482727909928,0.0924818909275545,8.50142348205977e-11,6.0415163253201e-10
"Wdr83","ENSMUSG00000005150",822.76086992739,0.605855530745928,0.0949875017279741,8.50246127182047e-11,6.0415163253201e-10
"Pfdn5","ENSMUSG00000001289",7823.17279008665,-0.709305021973386,0.112101853179798,8.54210351874711e-11,6.06802435682115e-10
"2510002D24Rik","ENSMUSG00000071632",468.785797152931,0.699567050884882,0.110478220722431,8.55899206348963e-11,6.07835884279161e-10
"Ndel1","ENSMUSG00000018736",5953.10462735487,-0.604326260253221,0.0947576221024403,8.57647460529323e-11,6.08910940333709e-10
"Ccdc85c","ENSMUSG00000084883",963.050819355759,0.688272996792746,0.108608641126463,8.60675717335605e-11,6.10893934269555e-10
"Fgfr1op","ENSMUSG00000069135",858.35093935455,-0.70559406482294,0.111542047318122,8.73704803300698e-11,6.19972334604438e-10
"Usp22","ENSMUSG00000042506",9502.88623375441,-0.487316045297595,0.0759508194378118,8.87395460175277e-11,6.29515091401588e-10
"Tmem131","ENSMUSG00000026116",6942.31813385401,0.406226360167979,0.0630960909766296,8.9197809903922e-11,6.32593206175521e-10
"Pax1","ENSMUSG00000037034",36.4306656818749,3.68865477129374,0.64198210199194,9.01786214949169e-11,6.39374550599096e-10
"Spa17","ENSMUSG00000001948",576.516399449385,1.0104631797814,0.164376590769777,9.02200357567826e-11,6.39493599519487e-10
"Colgalt2","ENSMUSG00000032649",240.990946637549,1.41079013963117,0.2331078149303,9.03324277186832e-11,6.40115547143771e-10
"Gm6013","ENSMUSG00000110701",24.351708685133,-3.11062541713507,0.534512026248877,9.03962891929751e-11,6.40393351508662e-10
"Pglyrp3","ENSMUSG00000042244",39.2312019754093,-7.09322344853667,1.26621083051217,9.31411095395716e-11,6.59658509913339e-10
"Wnk4","ENSMUSG00000035112",2672.35135886136,1.53099577073609,0.253188502421292,9.35816981988403e-11,6.62598223533828e-10
"6330408M09Rik","ENSMUSG00000116733",120.146686437834,1.1002384362508,0.180340035977837,9.39299074837237e-11,6.64882427707765e-10
"Mrpl38","ENSMUSG00000020775",2903.15774305988,-0.663949577106154,0.104823589841406,9.51514264288352e-11,6.73345421194354e-10
"Tpd52","ENSMUSG00000027506",13904.3340683844,-0.746419294470332,0.118697480507797,9.62984160150532e-11,6.81276535637959e-10
"Paupar","ENSMUSG00000102424",44.7736427036607,1.94626576109583,0.323108661580842,9.70441524290652e-11,6.86365382008511e-10
"Tsc22d3","ENSMUSG00000031431",1295.62140838381,-0.474504279616319,0.0740787331961507,9.77783594204655e-11,6.91369935341386e-10
"Mfsd3","ENSMUSG00000019080",201.022084744721,0.839078776243421,0.134665824169428,9.84218588830575e-11,6.9573056533802e-10
"Dnah10","ENSMUSG00000038011",71.018063512864,-1.97038286772409,0.327478653600985,9.90442828358698e-11,6.99939882865408e-10
"Susd4","ENSMUSG00000038576",624.451402554734,0.941708553081709,0.152648393624592,9.91969612755918e-11,7.00828150513709e-10
"Nrxn3","ENSMUSG00000066392",30.4687335941169,-2.25893321426275,0.378927577273228,9.92449191656278e-11,7.0097628383207e-10
"Taf7","ENSMUSG00000051316",714.123916879148,-0.993690794119894,0.161862950010758,1.002847898656e-10,7.08128406090131e-10
"Ddx23","ENSMUSG00000003360",6437.74578968604,-0.628823210637473,0.0991519868842981,1.00677781121801e-10,7.10710153170504e-10
"Gm43661","ENSMUSG00000104818",26.3496346423543,-3.2910247072612,0.569623555520176,1.01029493893431e-10,7.129991809528e-10
"5031439G07Rik","ENSMUSG00000036046",5179.73440907341,-0.406539407485638,0.0633333946867005,1.01135018131788e-10,7.13550001603005e-10
"Pmpcb","ENSMUSG00000029017",4265.17043403976,-0.639896689946395,0.10100936052479,1.01883343461753e-10,7.1863452282596e-10
"Gpr18","ENSMUSG00000050350",22.5507544072524,-4.21997999731781,0.747875491722744,1.027021574317e-10,7.24213339847589e-10
"Gm14616","ENSMUSG00000086177",20.7871440532281,3.58493607792683,0.62493587222866,1.03138681817357e-10,7.2709411115054e-10
"Unc93a2","ENSMUSG00000056133",96.1946096469836,-6.27657613172193,1.1375473238308,1.04326892574318e-10,7.35271024979002e-10
"Hrh3","ENSMUSG00000039059",35.7836197719028,2.02700070833157,0.337874514723948,1.04386283123017e-10,7.35490005151351e-10
"Cx3cl1","ENSMUSG00000031778",2520.93258401011,-1.16933424470372,0.193087250631295,1.07712743219865e-10,7.58721902403881e-10
"Surf6","ENSMUSG00000036160",1675.76831542543,-0.466876978269492,0.0730366933464774,1.08114975665324e-10,7.61348707430619e-10
"Tshz1","ENSMUSG00000046982",7169.99276712519,0.759274682621433,0.121274973611663,1.09750098515117e-10,7.72653783826537e-10
"Tpgs2","ENSMUSG00000024269",454.704015056295,1.00225428022846,0.163759765363691,1.0981525485903e-10,7.72902976678554e-10
"4930579K19Rik","ENSMUSG00000051074",139.294983182579,1.32940304313583,0.220696091722428,1.10404035491604e-10,7.76836414454739e-10
